id_geral,cd_escola,vl_proficiencia_fup,treatment,vl_proficiencia_bl,dumm_rp_08_bl,dumm_rp_09_bl,dumm_rp_14_bl,dumm_rp_23_bl,dumm_rp_24_bl,dumm_rp_49_bl,dumm_rp_50_bl,dumm_rp_64A_bl,dumm_rp_65A_bl,dumm_rp_95_bl,dumm_rp_08p_bl,dumm_rp_14p_bl,dumm_rp_23p_bl,female_coded
10065,35008540.0,42.387096,0,23.899378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10066,23070382.0,58.97924,1,56.263615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10067,35019604.0,35.216476,0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10069,35001824.0,74.37255,1,74.55374,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
1007,35012087.0,70.07285,1,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,1
10071,17007500.0,58.240643,0,47.55765,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10072,33093555.0,52.948498,0,52.197495,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10073,33038724.0,65.96463,0,39.551903,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10075,35012130.0,50.424328,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10076,35008667.0,64.65101,0,47.320816,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
10078,35037254.0,59.50733,1,37.01221,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0
10079,33027820.0,30.104635,0,34.42704,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1008,35012130.0,53.685013,0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1
10080,33047324.0,51.83224,1,55.11157,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0
10082,35012129.0,43.465153,0,30.203749,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
10086,17004950.0,61.576588,1,39.90153,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
10088,35004492.0,56.06187,1,46.887005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
10089,33046522.0,51.344063,0,37.141598,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0
10090,53006739.0,72.10371,0,68.53857,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
10091,33012407.0,66.38202,0,61.624657,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
10092,35901192.0,60.521786,1,42.32363,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10095,35914757.0,54.75734,1,41.39908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
10096,35907397.0,64.85352,1,30.93442,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1
10097,33060738.0,33.417637,0,28.04909,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
10099,35903073.0,65.937675,1,72.6594,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
101,33003858.0,76.03656,1,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1
1010,35012142.0,51.944115,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1
10100,23071095.0,92.61507,0,56.676956,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0,0
10102,35018089.0,70.531456,1,54.41492,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
10104,33011427.0,63.16611,0,40.62224,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,0
10107,35001016.0,80.80203,1,60.145535,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,0
10109,33058750.0,26.000576,1,18.17262,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10110,23077883.0,67.305145,0,66.47121,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10112,31069469.0,37.37355,0,64.338425,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
10113,35018089.0,41.6013,1,55.60637,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
10114,53011597.0,34.33001,0,49.449574,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
10115,33032360.0,73.812935,0,62.391567,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
10116,23072374.0,60.40258,0,44.606342,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10117,33028109.0,33.217278,0,43.141632,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10120,35008199.0,34.13292,0,23.782187,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
10121,35008576.0,43.009876,0,44.99395,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10122,23265795.0,57.024536,0,41.53109,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
10123,33012083.0,77.74077,1,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10124,23264853.0,74.925995,0,41.704227,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
10125,35916985.0,49.548855,1,21.067373,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10126,35037242.0,63.629925,1,37.609024,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0
10127,35014266.0,86.63186,1,63.435577,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
10128,35007638.0,68.08004,1,53.51713,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
10129,33077100.0,65.472916,1,59.905502,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10131,23320214.0,55.61624,1,49.549118,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0
10132,17033993.0,75.7128,0,77.86346,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10133,33018910.0,61.269794,1,55.52958,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10134,33014760.0,56.180344,0,39.96511,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
10135,33050554.0,39.40246,0,32.191715,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10137,33074186.0,60.055847,0,22.263239,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
10138,35011782.0,88.35434,1,69.92073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0
10139,23085193.0,34.726906,1,31.939636,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,1.0,1.0,0.0,0.0,0
10140,35008312.0,60.271175,1,56.24404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
10141,17050715.0,37.362713,0,32.419853,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
10142,23320214.0,62.85759,1,36.40915,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
10143,33027137.0,72.643425,1,34.54907,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
10144,35019549.0,73.98155,0,72.28966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10145,35905148.0,67.9055,1,69.21307,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10147,35000673.0,65.8278,1,57.399323,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1
10149,35042195.0,52.59147,1,41.926056,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10150,35911343.0,50.65184,1,24.743027,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,,0
10151,23163330.0,49.32609,0,36.45488,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10152,31069191.0,81.75565,0,70.8677,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10153,17007500.0,56.920876,0,55.79059,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10154,17035287.0,65.372246,0,53.126038,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
10155,53006739.0,55.368813,0,60.49978,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
10156,53008790.0,54.081482,1,48.766933,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10157,33005362.0,98.87668,1,31.385454,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
10158,23163402.0,67.53078,0,55.092808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10159,23061499.0,45.9183,1,32.315487,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10161,23083921.0,80.19823,0,68.41488,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
10162,35908915.0,77.95449,0,85.44201,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10163,35014072.0,82.20027,1,73.54816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10164,35916985.0,63.071144,1,37.247757,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
10165,33098808.0,67.54308,0,50.002792,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
10166,17000386.0,49.770405,1,23.657162,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,1.0,0
10167,33120692.0,31.223484,1,28.347101,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,1
10168,35012300.0,59.613663,1,69.868576,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10170,31330566.0,78.82259,1,67.071556,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1
10174,33156883.0,65.06375,1,58.480244,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0
10175,33004226.0,54.56176,1,34.693733,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10176,23163410.0,41.223717,1,15.472474,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10178,33028583.0,67.582054,0,59.234062,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10179,17052050.0,62.82445,1,44.235516,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10181,35046772.0,67.63828,1,41.25991,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
10182,23036010.0,40.381428,1,11.963378,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
10185,35019720.0,60.86141,0,47.378353,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10186,53004981.0,67.477936,1,66.809326,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10187,17050294.0,49.6346,1,54.610966,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
10188,33014760.0,47.569374,0,52.836506,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0
10189,35019446.0,36.090965,0,36.580074,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0
10190,23070382.0,60.3505,1,43.966637,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10191,33045569.0,69.94055,1,44.11369,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
10192,35925073.0,65.304184,1,50.50397,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10193,53068181.0,65.42393,1,50.23382,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
10195,35019720.0,63.513096,0,65.50713,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10196,35925073.0,62.9487,1,44.73964,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,1
10208,33136513.0,92.12669,1,63.389084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
10213,23264063.0,62.365654,1,37.94725,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
10215,35011149.0,83.35117,1,73.00815,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
10218,33051879.0,52.488716,1,68.32767,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0
10219,35019458.0,63.77599,1,62.145054,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
10220,33005990.0,63.016983,0,45.014267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10221,35905012.0,85.81092,1,59.54721,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
